method,sample_size,replicate,sampled_files,feature,metric,value
camelot,1.0,2.0,['guideline_hematuria.pdf'],relative_radiation_level,number_of_characters,89.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],relative_radiation_level,percentual_error,0.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],relative_radiation_level,time,102.83197
camelot,1.0,2.0,['guideline_hematuria.pdf'],subcategory,levenshtein,11.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],subcategory,number_of_characters,5935.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],subcategory,percentual_error,0.18534119629317608
camelot,1.0,2.0,['guideline_hematuria.pdf'],subcategory,time,102.83197
camelot,1.0,2.0,['guideline_hematuria.pdf'],category,levenshtein,0.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],category,number_of_characters,899.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],category,percentual_error,0.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],category,time,102.83197
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,levenshtein,0.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,number_of_characters,1182.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,percentual_error,0.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,time,144.73234
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,levenshtein,11.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,number_of_characters,994.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,percentual_error,1.1066398390342052
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,time,144.73234
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,levenshtein,12.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,number_of_characters,99.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,percentual_error,12.121212121212121
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,time,144.73234
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,levenshtein,0.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,number_of_characters,4293.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,percentual_error,0.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,time,144.73234
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,levenshtein,0.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,number_of_characters,2564.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,percentual_error,0.0
camelot,1.0,3.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,time,144.73234
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],procedure,levenshtein,0.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],procedure,number_of_characters,1448.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],procedure,percentual_error,0.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],procedure,time,142.24816
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],appropriateness_category,levenshtein,15.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],appropriateness_category,number_of_characters,951.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],appropriateness_category,percentual_error,1.5772870662460567
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],appropriateness_category,time,142.24816
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],relative_radiation_level,levenshtein,0.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],relative_radiation_level,number_of_characters,89.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],relative_radiation_level,percentual_error,0.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],relative_radiation_level,time,142.24816
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],subcategory,levenshtein,30.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],subcategory,number_of_characters,5174.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],subcategory,percentual_error,0.5798221878623889
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],subcategory,time,142.24816
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],category,levenshtein,0.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],category,number_of_characters,1574.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],category,percentual_error,0.0
camelot,1.0,4.0,['guideline_thoracic_outlet_syndrome.pdf'],category,time,142.24816
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,levenshtein,0.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,number_of_characters,1182.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,percentual_error,0.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],procedure,time,142.86367
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,levenshtein,11.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,number_of_characters,994.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,percentual_error,1.1066398390342052
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],appropriateness_category,time,142.86367
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,levenshtein,12.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,number_of_characters,99.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,percentual_error,12.121212121212121
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],relative_radiation_level,time,142.86367
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,levenshtein,0.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,number_of_characters,4293.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,percentual_error,0.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],subcategory,time,142.86367
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,levenshtein,0.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,number_of_characters,2564.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,percentual_error,0.0
camelot,1.0,5.0,['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf'],category,time,142.86367
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],procedure,levenshtein,61.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],procedure,number_of_characters,2261.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],procedure,percentual_error,2.697921273772667
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],procedure,time,136.8357
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],appropriateness_category,levenshtein,0.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],appropriateness_category,number_of_characters,1155.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],appropriateness_category,percentual_error,0.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],appropriateness_category,time,136.8357
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],relative_radiation_level,levenshtein,126.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],relative_radiation_level,number_of_characters,208.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],relative_radiation_level,percentual_error,60.57692307692307
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],relative_radiation_level,time,136.8357
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],subcategory,levenshtein,104.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],subcategory,number_of_characters,8489.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],subcategory,percentual_error,1.2251148545176112
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],subcategory,time,136.8357
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],category,levenshtein,0.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],category,number_of_characters,1351.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],category,percentual_error,0.0
camelot,1.0,6.0,['guideline_back_pain-child.pdf'],category,time,136.8357
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],procedure,levenshtein,61.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],procedure,number_of_characters,2261.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],procedure,percentual_error,2.697921273772667
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],procedure,time,137.22196
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],appropriateness_category,levenshtein,0.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],appropriateness_category,number_of_characters,1155.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],appropriateness_category,percentual_error,0.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],appropriateness_category,time,137.22196
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],relative_radiation_level,levenshtein,126.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],relative_radiation_level,number_of_characters,208.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],relative_radiation_level,percentual_error,60.57692307692307
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],relative_radiation_level,time,137.22196
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],subcategory,levenshtein,104.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],subcategory,number_of_characters,8489.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],subcategory,percentual_error,1.2251148545176112
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],subcategory,time,137.22196
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],category,levenshtein,0.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],category,number_of_characters,1351.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],category,percentual_error,0.0
camelot,1.0,7.0,['guideline_back_pain-child.pdf'],category,time,137.22196
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],procedure,levenshtein,2571.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],procedure,number_of_characters,2571.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],procedure,percentual_error,100.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],procedure,time,144.50161
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],appropriateness_category,levenshtein,1625.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],appropriateness_category,number_of_characters,1625.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],appropriateness_category,percentual_error,100.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],appropriateness_category,time,144.50161
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],relative_radiation_level,levenshtein,139.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],relative_radiation_level,number_of_characters,139.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],relative_radiation_level,percentual_error,100.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],relative_radiation_level,time,144.50161
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],subcategory,levenshtein,6351.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],subcategory,number_of_characters,6351.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],subcategory,percentual_error,100.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],subcategory,time,144.50161
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],category,levenshtein,1819.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],category,number_of_characters,1819.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],category,percentual_error,100.0
camelot,1.0,8.0,['guideline_hematuria-child.pdf'],category,time,144.50161
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],procedure,levenshtein,20.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],procedure,number_of_characters,2665.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],procedure,percentual_error,0.7504690431519699
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],procedure,time,112.29317
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],appropriateness_category,levenshtein,0.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],appropriateness_category,number_of_characters,2287.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],appropriateness_category,percentual_error,0.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],appropriateness_category,time,112.29317
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],relative_radiation_level,levenshtein,0.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],relative_radiation_level,number_of_characters,201.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],relative_radiation_level,percentual_error,0.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],relative_radiation_level,time,112.29317
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],subcategory,levenshtein,18.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],subcategory,number_of_characters,8661.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],subcategory,percentual_error,0.20782819535850364
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],subcategory,time,112.29317
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],category,levenshtein,0.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],category,number_of_characters,3029.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],category,percentual_error,0.0
camelot,1.0,9.0,['guidelines_chronic_elbow_pain.pdf'],category,time,112.29317
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],procedure,levenshtein,0.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],procedure,number_of_characters,644.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],procedure,percentual_error,0.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],procedure,time,124.94959
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],appropriateness_category,levenshtein,15.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],appropriateness_category,number_of_characters,463.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],appropriateness_category,percentual_error,3.2397408207343417
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],appropriateness_category,time,124.94959
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],relative_radiation_level,levenshtein,0.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],relative_radiation_level,number_of_characters,41.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],relative_radiation_level,percentual_error,0.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],relative_radiation_level,time,124.94959
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],subcategory,levenshtein,7.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],subcategory,number_of_characters,2106.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],subcategory,percentual_error,0.33238366571699907
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],subcategory,time,124.94959
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],category,levenshtein,0.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],category,number_of_characters,650.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],category,percentual_error,0.0
camelot,1.0,10.0,['guideline_diffuse_lung_disease.pdf'],category,time,124.94959
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",procedure,levenshtein,20.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",procedure,number_of_characters,3208.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",procedure,percentual_error,0.6234413965087282
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",procedure,time,207.11714
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",appropriateness_category,levenshtein,0.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",appropriateness_category,number_of_characters,2743.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",appropriateness_category,percentual_error,0.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",appropriateness_category,time,207.11714
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",relative_radiation_level,levenshtein,0.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",relative_radiation_level,number_of_characters,243.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",relative_radiation_level,percentual_error,0.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",relative_radiation_level,time,207.11714
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",subcategory,levenshtein,873.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",subcategory,number_of_characters,12616.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",subcategory,percentual_error,6.919784400760938
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",subcategory,time,207.11714
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",category,levenshtein,0.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",category,number_of_characters,3743.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",category,percentual_error,0.0
camelot,2.0,1.0,"['guidelines_chronic_elbow_pain.pdf|', 'guideline_breast_cancer_screening.pdf|']",category,time,207.11714
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",procedure,levenshtein,6.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",procedure,number_of_characters,2490.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",procedure,percentual_error,0.24096385542168677
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",procedure,time,238.15094
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",appropriateness_category,levenshtein,30.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",appropriateness_category,number_of_characters,1532.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",appropriateness_category,percentual_error,1.95822454308094
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",appropriateness_category,time,238.15094
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",relative_radiation_level,levenshtein,19.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",relative_radiation_level,number_of_characters,141.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",relative_radiation_level,percentual_error,13.47517730496454
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",relative_radiation_level,time,238.15094
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",subcategory,levenshtein,30.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",subcategory,number_of_characters,10283.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",subcategory,percentual_error,0.291743654575513
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",subcategory,time,238.15094
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",category,levenshtein,0.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",category,number_of_characters,2380.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",category,percentual_error,0.0
camelot,2.0,2.0,"['guideline_acute_pyelonephritis.pdf|', 'guideline_thoracic_outlet_syndrome.pdf|']",category,time,238.15094
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",procedure,levenshtein,2572.0
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",procedure,number_of_characters,3754.0
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",procedure,percentual_error,68.51358550879063
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",procedure,time,305.56945
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",appropriateness_category,levenshtein,1631.0
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",appropriateness_category,number_of_characters,2620.0
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",appropriateness_category,percentual_error,62.25190839694656
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",appropriateness_category,time,305.56945
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",relative_radiation_level,levenshtein,152.0
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",relative_radiation_level,number_of_characters,239.0
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",relative_radiation_level,percentual_error,63.59832635983263
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",relative_radiation_level,time,305.56945
camelot,2.0,3.0,"['guideline_breast_imaging_of_pregnant_and_lactating_women.pdf|', 'guideline_hematuria-child.pdf|']",subcategory,levenshtein,6352.0
